Code,Genus,Species,Voucher,Country,Herbarium,ITS,ITSname,rps16,rps16names,ndhF,ndhFnames,ETS,ETSnames
SC242,Scleria,schiedeana,Tellez O.V. 12761,Mexico,MO,LN886896,Scleria_schiedenana_LN886896_Mexico,LN887125,Scleria_schiedeana_LN887125_Mexico,LN887013,Scleria_schiedeana_LN887013_Mexico,,
SC090,Scleria,schimperiana,Friis I. & al. 8034,Ethiopia,GENT,LN886832,Scleria_schimperiana_LN886832_Ethiopia,LN887060,Scleria_schimperiana_LN887060_Ethiopia,LN886943,Scleria_schimperiana_LN886943_Ethiopia,,
SC355,Scleria,schliebenii,Bauters K. 2015-071,Zambia,GENT,MG708587,Scleria_schliebenii_MG708587_Zambia,MG708825,Scleria_schliebenii_MG708825_Zambia,MG708713,Scleria_schliebenii_MG708713_Zambia,MG708985,Scleria_schliebenii_MG708985_Zambia
SC100,Scleria,scrobiculata,De Wilde B. & al. 02-99,Thailand,TCD,LN886839,Scleria_scrobiculata_LN886839_Thailand,LN887066,Scleria_scrobiculata_LN887066_Thailand,LN886950,Scleria_scrobiculata_LN886950_Thailand,,
SC105,Scleria,secans,De Wilde B. 10,Guiana,TCD,LN886842,Scleria_secans_LN886842_Guyana,LN887069,Scleria_secans_LN887069_Guyana,LN886953,Scleria_secans_LN886953_Guyana,MH379459,Scleria_secans_MH379459_ Guyana
SC244,Scleria,skutchii,Grant J.R. & Rundell J.R. 92-02062,Costa Rica,MO,LN886897,Scleria_skutchii_LN886897_Costa_Rica,LN887126,Scleria_skutchii_LN887126_Costa_Rica,LN887014,Scleria_skutchii_LN887014_Costa_Rica,,
SC040,Scleria,sobolifer,Reid C. 531,South Africa,GENT,LN886814,Scleria_sobolifer_LN886814_South_Africa,LN887043,Scleria_sobolifer_LN887043_South_Africa,LN886925,Scleria_sobolifer_LN886925_South_Africa,MG708901,Scleria_sobolifer_MG708901_South_Africa
SC146,Scleria,sororia,Tenorio P.L. & al. 14638,Guatemala,GENT,LN886864,Scleria_sororia_LN886864_Guatemala,LN887091,Scleria_sororia_LN887091_Guatemala,LN886976,Scleria_sororia_LN886976_Guatemala,,
SC259,Scleria,sphacelata,Bruhl J.J. 2467,Australia,NE,LN886903,Scleria_sphacelata_LN886903_Australia,LN887132,Scleria_sphacelata_LN887132_Australia,LN887020,Scleria_sphacelata_LN887020_Australia,MG708938,Scleria_sphacelata_MG708938_Australia
SC041,Scleria,spicata,Harley R.M. 24658,Brazil,GENT,LN886815,Scleria_spicata_LN886815_Brazil,LN887044,Scleria_spicata_LN887044_Brazil,LN886926,Scleria_spicata_LN886926_Brazil,MG708902,Scleria_spicata_MG708902_Brazil
SC246,Scleria,spiciformis,Harris D.J. 8223,Gabon,MO,LN886898,Scleria_spiciformis_LN886898_Gabon,LN887127,Scleria_spiciformis_LN887127_Gabon,LN887015,Scleria_spiciformis_LN887015_Gabon,,
SC162,Scleria,splitgerberiana,Gottsberger G. & D”ring J. 126-19186,Brazil,GENT,LN886869,Scleria_splitgerberiana_LN886869_Brazil,LN887096,Scleria_splitgerberiana_LN887096_Brazil,LN886981,Scleria_splitgerberiana_LN886981_Brazil,,
SC163,Scleria,sprucei,Saldias M. & al. 2703,Bolivia,GENT,LN886870,Scleria_sprucei_LN886870_Bolivia,LN887097,Scleria_sprucei_LN887097_Bolivia,LN886982,Scleria_sprucei_LN886982_Bolivia,,
SC164,Scleria,staheliana,Cremers G. 12187,French Guyana,GENT,LN886871,Scleria_staheliana_LN886871_French_Guiana,LN887098,Scleria_staheliana_LN887098_French_Guiana,LN886983,Scleria_staheliana_LN886983_French_Guiana,,
SC350,Scleria,suaveolens,Bauters K. 2015-053,Zambia,GENT,MG708585,Scleria_suaveolens_MG708585_Zambia,MG708823,Scleria_suaveolens_MG708823_Zambia,MG708711,Scleria_suaveolens_MG708711_Zambia,MG708983,Scleria_suaveolens_MG708983_Zambia
SC097,Scleria,sumatrensis,De Wilde B. & al. 02-198,Thailand,TCD,LN886837,Scleria_sumatrensis_LN886837_Thailand,LN887065,Scleria_sumatrensis_LN887065_Thailand,LN886948,Scleria_sumatrensis_LN886948_Thailand,,
SC044,Scleria,tenella,Cremers G. & Granville J.J. 13978,French Guiana,GENT,MG708530,Scleria_tenella_MG708530_French_Guiana,MG708768,Scleria_tenella_MG708768_French_Guiana,MG708654,Scleria_tenella_MG708654_French_Guiana,MG708904,Scleria_tenella_MG708904_French_Guiana
SC167,Scleria,tepuiensis,Gr”ger A. 1127,Venezuela,GENT,LN886873,Scleria_tepuiensis_LN886873_Venezuela,LN887100,Scleria_tepuiensis_LN887100_Venezuela,LN886985,Scleria_tepuiensis_LN886985_Venezuela,,
SC055,Scleria,terrestris,Goetghebeur P. 12129,Philippines,GENT,LN886822,Scleria_terrestris_LN886822_Philippines,LN887051,Scleria_terrestris_LN887051_Philippines,LN886933,Scleria_terrestris_LN886933_Philippines,MH379454,Scleria_terrestris_MH379454_ Philippines
SC166,Scleria,tessellata,De Smet K. 77/14,Burkina Faso,GENT,LN886872,Scleria_tessellata_LN886872_Burkina_Faso,LN887099,Scleria_tessellata_LN887099_Burkina_Faso,LN886984,Scleria_tessellata_LN886984_Burkina_Faso,SC166,Scleria_tessellata_SC166_ Burkina_Faso
SC278,Scleria,testacea,Schessl M. 3006,Brazil,GENT,LN886912,Scleria_testacea_LN886912_Brazil,LN887142,Scleria_testacea_LN887142_Brazil,LN887030,Scleria_testacea_LN887030_Brazil,,
SC098,Scleria,tonkinensis,De Wilde B. & al. 02-173,Thailand,GENT,LN886838,Scleria_tonkinensis_LN886838_Thailand,,,LN886949,Scleria_tonkinensis_LN886949_Thailand,,
SC168,Scleria,transvaalensis,Reid C. 1815,South Africa,GENT,LN886874,Scleria_transvaalensis_LN886874_South_Africa,LN887101,Scleria_transvaalensis_LN887101_South_Africa,LN886986,Scleria_transvaalensis_LN886986_South_Africa,,
JG21,Scleria,trialata,Randriamampionona 328,Madagascar,K,JG21,Scleria_trialata_JG21_Madagascar,,,,,,
SC450,Scleria,tricholepis,Drummond 7438,Zambia,L,MG708628,Scleria_tricholepis_MG708628_Zambia,MG708861,Scleria_tricholepis_MG708861_Zambia,,,,
SC266,Scleria,tricristata,Bidgood S. et al. 6083,Tanzania,MO,LN886905,Scleria_tricristata_LN886905_Tanzania,LN887135,Scleria_tricristata_LN887135_Tanzania,LN887023,Scleria_tricristata_LN887023_Tanzania,MG708942,Scleria_tricristata_MG708942_Tanzania
SC249,Scleria,triglomerata,Kral R. 94078,U.S.A.,MO,LN886899,Scleria_triglomerata_LN886899_USA,LN887128,Scleria_triglomerata_LN887128_USA,LN887016,Scleria_triglomerata_LN887016_USA,MH379472,Scleria_triglomerata_MH379472_USA
SC250,Scleria,unguiculata,"Bidgood,  S. & al. 5577",Tanzania,MO,LN886900,Scleria_unguiculata_LN886900_Tanzania,LN887129,Scleria_unguiculata_LN887129_Tanzania,LN887017,Scleria_unguiculata_LN887017_Tanzania,,
SC171,Scleria,verrucosa,Hepper F.N. & Maley J. 7752,Ivory Coast,GENT,LN886875,Scleria_verrucosa_LN886875_Ivory_Coast,LN887102,Scleria_verrucosa_LN887102_Ivory_Coast,LN886987,Scleria_verrucosa_LN886987_Ivory_Coast,,
SC319,Scleria,verticillata,Umbach 198,USA,GENT,MG708574,Scleria_verticillata_MG708574_USA,MG708812,Scleria_verticillata_MG708812_USA,,,MG708971,Scleria_verticillata_MG708971_USA
SC301,Scleria,veseyfitzgeraldii,Smith 3774,Botswana,GENT,MG708563,Scleria_veseyfitzgeraldii_MG708563_Botswana,MG708801,Scleria_veseyfitzgeraldii_MG708801_Botswana,MG708691,Scleria_veseyfitzgeraldii_MG708691_Botswana,MG708958,Scleria_veseyfitzgeraldii_MG708958_Botswana
SC118,Scleria,virgata,Irwin H.S. et al. 20762,Brazil,GENT,LN886849,Scleria_virgata_LN886849_Brazil,LN887076,Scleria_virgata_LN887076_Brazil,LN886960,Scleria_virgata_LN886960_Brazil,MG708916,Scleria_virgata_MG708916_Brazil
SC251,Scleria,vogelii, Jongkind C.C.H. 8509, Liberia,MO,LN886901,Scleria_vogelii_LN886901_Liberia,LN887130,Scleria_vogelii_LN887130_Liberia,LN887018,Scleria_vogelii_LN887018_Liberia,,
SC442,Scleria,welwitschii,Robinson 5714,Zambia,GENT,MG708620,Scleria_welwitschii_MG708620_Zambia,MG708853,Scleria_welwitschii_MG708853_Zambia,MG708744,Scleria_welwitschii_MG708744_Zambia,MG709016,Scleria_welwitschii_MG709016_Zambia
SC121,Scleria,williamsii, Rivero E. 445, Bolivia,GENT,LN886851,Scleria_williamsii_LN886851_Bolivia,LN887078,Scleria_williamsii_LN887078_Bolivia,LN886962,Scleria_williamsii_LN886962_Bolivia,,
SC326,Scleria,woodii,S. Bidgood et al. 5202,Tanzania,GENT,MG708577,Scleria_woodii_MG708577_Tanzania,MG708815,Scleria_woodii_MG708815_Tanzania,MG708704,Scleria_woodii_MG708704_Tanzania,MG708975,Scleria_woodii_MG708975_Tanzania
SC335,Scleria,zambesica,E.A. Robinson 6578,Zambia,NY,MG708582,Scleria_zambesica_MG708582_Zambia,MG708820,Scleria_zambesica_MG708820_Zambia,MG708708,Scleria_zambesica_MG708708_Zambia,MG708980,Scleria_zambesica_MG708980_Zambia
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
