Code,Genus,Species,Voucher,Country,Herbarium,ITS,ITSname,rps16,rps16names,ndhF,ndhFnames,ETS,ETSnames
SC104,Scleria,macrogyne, Bart De Wilde 26, Guiana,TCD,LN886841,Scleria_macrogyne_LN886841_Guyana,LN887068,Scleria_macrogyne_LN887068_Guyana,LN886952,Scleria_macrogyne_LN886952_Guyana,,
SC145,Scleria,macrophylla," Laegaard, S. 101080", Equador,GENT,LN886863,Scleria_macrophylla_LN886863_Ecuador,LN887090,Scleria_macrophylla_LN887090_Equador,LN886975,Scleria_macrophylla_LN886975_Equador,,
JG23,Scleria,madagascariensis,Rokotozafy 2741,Madagascar,K,JG23,Scleria_madagascariensis_JG23_Madagascar,JG23,Scleria_madagascariensis_JG23_Madagascar,JG23,Scleria_madagascariensis_JG23_Madagascar,,
SC451,Scleria,maypurensis,Gr”ger A. 1103,Venezuela,GENT,MG708629,Scleria_maypurensis_MG708629_Venezuela,MG708862,Scleria_maypurensis_MG708862_Venezuela,,,,
SC112,Scleria,melanomphala,Muasya M.A. 96/167,Tanzania,GENT,LN886848,Scleria_melanomphala_LN886848_Tanzania,LN887075,Scleria_melanomphala_LN887075_Tanzania,LN886959,Scleria_melanomphala_LN886959_Tanzania,MH379463,Scleria_melanomphala_MH379463_ Tanzania
SC449,Scleria,melanotricha,Porembski 362,Ivory Coast,GENT,MG708627,Scleria_melanotricha_MG708627_Ivory_Coast,MG708860,Scleria_melanotricha_MG708860_Ivory_Coast,MG708751,Scleria_melanotricha_MG708751_Ivory_Coast,MG708966,Scleria_melanotricha_MG708966_Ivory_Coast
SC107,Scleria,microcarpa,De Wilde B. 19,Guiana,TCD,LN886844,Scleria_microcarpa_LN886844_Guyana,LN887071,Scleria_microcarpa_LN887071_Guyana,LN886955,Scleria_microcarpa_LN886955_Guyana,MH379460,Scleria_microcarpa_MH379460_ Guyana
SC148,Scleria,mitis,Thomas W.W. & al. 11399,Brazil,GENT,LN886865,Scleria_mitis_LN886865_Brazil,LN887092,Scleria_mitis_LN887092_Brazil,LN886977,Scleria_mitis_LN886977_Brazil,MH379469,Scleria_mitis_MH379469_ Brazil
SC029,Scleria,mongomoensis,Porembski S. 3609,Equatorial Guinea,GENT,MG708522,Scleria_mongomoensis_MG708522_Equatorial_Guinea,,,,,MG708891,Scleria_mongomoensis_MG708891_Equatorial_Guinea
SC150,Scleria,naumanniana,"Laegaard, S. 16894",Senegal,GENT,LN886866,Scleria_naumanniana_LN886866_Senegal,LN887093,Scleria_naumanniana_LN887093_Senegal,LN886978,Scleria_naumanniana_LN886978_Senegal,,
SC023,Scleria,neesii,Larsen K. & al. 45846,Thailand,MO,,,,,LN887008,Scleria_neesii_LN887008_Thailand,,
SC232,Scleria,nyasensis,Rwaburindore P.K. 3708,Uganda,MO,LN886892,Scleria_nyasensis_LN886892_Uganda,LN887121,Scleria_nyasensis_LN887121_Uganda,LN887009,Scleria_nyasensis_LN887009_Uganda,,
SC093,Scleria,oblata,De Wilde B. & al. 02-110,Thailand,TCD,LN886834,Scleria_oblata_LN886834_Thailand,LN887062,Scleria_oblata_LN887062_Thailand,LN886945,Scleria_oblata_LN886945_Thailand,,
SC154,Scleria,obtusa,Beck. St. G. 46,Bolivia,GENT,LN886867,Scleria_obtusa_LN886867_Bolivia,LN887094,,LN886979,Scleria_obtusa_LN886979_Bolivia,,
SC236,Scleria,oligantha,Brant A.E. 4716,U.S.A.,MO,LN886893,Scleria_oligantha_LN886893_USA,LN887122,Scleria_oligantha_LN887122_USA,LN887010,Scleria_oligantha_LN887010_USA,MH379471,Scleria_oligantha_MH379471_USA
SC155,Scleria,panicoides,Solomon J.C. 18411,Bolivia,GENT,LN886868,Scleria_panicoides_LN886868_Bolivia,LN887095,Scleria_panicoides_LN887095_Bolivia,LN886980,Scleria_panicoides_LN886980_Bolivia,,
SC252,Scleria,pantadenia,Bidgood S. et al. 5550,Tanzania,MO,LN886902,Scleria_pantadenia_LN886902_Tanzania,LN887131,Scleria_pantadenia_LN887131_Tanzania,LN887019,Scleria_pantadenia_LN887019_Tanzania,MG708935,Scleria_pantadenia_MG708935_Tanzania
SC382,Scleria,paupercula,Bauters K. 2015-172,Zambia,GENT,MG708604,Scleria_paupercula_MG708604_Zambia,MG708837,Scleria_paupercula_MG708837_Zambia,MG708731,Scleria_paupercula_MG708731_Zambia,MG709000,Scleria_paupercula_MG709000_Zambia
SC435,Scleria,pedicellata,Ngok Banak 1736,Togo,MO,MG708614,Scleria_pedicellata_MG708614_Togo,MG708846,Scleria_pedicellata_MG708846_Togo,MG708737,Scleria_pedicellata_MG708737_Togo,MG709009,Scleria_pedicellata_MG709009_Togo
SC123,Scleria,pergracilis,Laegaard S. 21176,Burkina Faso,GENT,MG708536,Scleria_pergracilis_MG708536_Burkina_Faso,MG708775,Scleria_pergracilis_MG708775_Burkina_Faso,MG708661,Scleria_pergracilis_MG708661_Burkina_Faso,MG708917,Scleria_pergracilis_MG708917_Burkina_Faso
SC349,Scleria,pergracilis_var._brachystachys,Bauters K. 2015-052,Zambia,GENT,MG708584,Scleria_pergracilis_var_brachystachys_MG708584_Zambia,MG708822,Scleria_pergracilis_var_brachystachys_MG708822_Zambia,MG708710,Scleria_pergracilis_var_brachystachys_MG708710_Zambia,MG708982,Scleria_pergracilis_var_brachystachys_MG708982_Zambia
SC315,Scleria,perpusilla,Chermezon 18433,Madagascar,BR,,,,,,,MG708968,Scleria_perpusilla_MG708968_Madagascar
SC239,Scleria,plusiophylla,Zardini E. & Guerrero L. 37110,Paraguay,MO,LN886894,Scleria_plusiophylla_LN886894_Paraguay,LN887123,Scleria_plusiophylla_LN887123_Paraguay,LN887011,Scleria_plusiophylla_LN887011_Paraguay,,
SC280,Scleria,poiformis,De Wilde B. b89,Thailand,TCD,LN886914,Scleria_poiformis_LN886914_Thailand,LN887143,Scleria_poiformis_LN887143_Thailand,LN887032,Scleria_poiformis_LN887032_Thailand,,
SC122,Scleria,polycarpa,Turner H. 174,Indonesia,GENT,,,,,LN886963,Scleria_polycarpa_LN886963_Indonesia,,
SC299,Scleria,polyrrhiza,Robinson E.A. 4921,Zambia,GENT,MG708562,Scleria_polyrrhiza_MG708562_Angola,MG708800,Scleria_polyrrhiza_MG708800_Zambia,MG708690,Scleria_polyrrhiza_MG708690_Zambia,MG708957,Scleria_polyrrhiza_MG708957_Zambia
SC364,Scleria,pooides,Bauters K. 2015-119,Zambia,GENT,MG708593,Scleria_pooides_MG708593_Zambia,MG708828,Scleria_pooides_MG708828_Zambia,MG708719,Scleria_pooides_MG708719_Zambia,MG708989,Scleria_pooides_MG708989_Zambia
SC454,Scleria,pseudohispidior,Friis 7889,Ethiopia,L,MG708632,Scleria_pseudohispidior_MG708632_Ethiopia,MG708864,Scleria_pseudohispidior_MG708864_Ethiopia,MG708753,Scleria_pseudohispidior_MG708753_Ethiopia,MG709024,Scleria_pseudohispidior_MG709024_Ethiopia
SC024,Scleria,pulchella,Hess H.&E. 52/1745,Angola,GENT,MG708518,Scleria_pulchella_MG708518_Angola,MG708761,Scleria_pulchella_MG708761_Angola,MG708648,Scleria_pulchella_MG708648_Angola,MG708886,Scleria_pulchella_MG708886_Angola
SC053,Scleria,purdiei,Beck St. G. 13542,Bolivia,GENT,LN886820,Scleria_purdiei_LN886820_Bolivia,LN887049,Scleria_purdiei_LN887049_Bolivia,LN886931,Scleria_purdiei_LN886931_Bolivia,MG708912,Scleria_purdiei_MG708912_Bolivia
SC094,Scleria,purpurascens,De Wilde B. & al. 02-177,Thailand,TCD,LN886835,Scleria_purpurascens_LN886835_Thailand,LN887063,Scleria_purpurascens_LN887063_Thailand,LN886946,Scleria_purpurascens_LN886946_Thailand,,
SC447,Scleria,pusilla,Jansen-Jacobs 2637,Guyana,GENT,MG708625,Scleria_pusilla_MG708625_Guyana,MG708858,Scleria_pusilla_MG708858_Guyana,MG708749,Scleria_pusilla_MG708749_Guyana,MG709021,Scleria_pusilla_MG709021_Guyana
SC109,Scleria,racemosa,Billiet F. S3802,Africa,BR,LN886846,Scleria_racemosa_LN886846_Africa,LN887073,Scleria_racemosa_LN887073_Africa,LN886957,Scleria_racemosa_LN886957_Africa,MH379462,Scleria_racemosa_MH379462_ Africa
SC358,Scleria,rehmannii,Bauters K. 2015-107,Zambia,GENT,MG708588,Scleria_rehmannii_MG708588_Zambia,MG708826,Scleria_rehmannii_MG708826_Zambia,MG708714,Scleria_rehmannii_MG708714_Zambia,MG708986,Scleria_rehmannii_MG708986_Zambia
SC192,Scleria,reticularis,Bauters K. & Coenen J. 2013-050,U.S.A.,GENT,LN886878,Scleria_reticularis_LN886878_USA,LN887109,Scleria_reticularis_LN887109_USA,LN886994,Scleria_reticularis_LN886994_USA,,
SC304,Scleria,richardsiae,Faden R.B. et al. 96/245,Tanzania,BR,MG708564,Scleria_richardsiae_MG708564_Tanzania,MG708803,Scleria_richardsiae_MG708803_Tanzania,MG708693,Scleria_richardsiae_MG708693_Tanzania,MG708960,Scleria_richardsiae_MG708960_Tanzania
SC305,Scleria,robinsoniana,Gomar A.S. 343,Guinea,BR,MG708565,Scleria_robinsoniana_MG708565_Guinea,MG708804,Scleria_robinsoniana_MG708804_Guinea,MG708694,Scleria_robinsoniana_MG708694_Guinea,MG708961,Scleria_robinsoniana_MG708961_Guinea
JG12,Scleria,rosea,SDR460,Madagascar,K,JG12,Scleria_rosea_JG12_Madagascar,JG12,Scleria_rosea_JG12_Madagascar,JG12,Scleria_rosea_JG12_Madagascar,,
SC043,Scleria,rugosa,De Dapper M. 81/1,Indonesia,GENT,LN886817,Scleria_rugosa_LN886817_Indonesia,LN887046,Scleria_rugosa_LN887046_Indonesia,LN886928,Scleria_rugosa_LN886928_Indonesia,MH379453,Scleria_rugosa_MH379453_ Indonesia
JG03,Scleria,rutenbergiana,P01668985,Madagascar,P,JG03,Scleria_rutenbergiana_JG03_Madagascar,JG03,Scleria_rutenbergiana_JG03_Madagascar,JG03,Scleria_rutenbergiana_JG03_Madagascar,,
SC088,Scleria,scabra,Luce¤o M. 282,Brazil,GENT,LN886831,Scleria_scabra_LN886831_Brazil,LN887059,Scleria_scabra_LN887059_Brazil,LN886942,Scleria_scabra_LN886942_Brazil,,
